2019-12-12 20:50:09.296857 - Python Partest Version 0.5
Setting up test: runsperthread=1 threads=50 totalruns=50 payload=[{'bucketname': 'df.service.one' 'key': '1000_Sales_Records.csv'}]

Raw results of each run:
1_run_id,2_thread_id,contextSwitchesDelta,cpuCores,cpuIdleDelta,cpuIowaitDelta,cpuIrqDelta,cpuKrnDelta,cpuModel,cpuNiceDelta,cpuSoftIrqDelta,cpuType,cpuUsrDelta,frameworkRuntime,latency,message,payload,roundTripTime,runtime,userRuntime,vmcpustealDelta
0,4,832,2,25,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,1,0,4766.78,bucketname = df.service.one; key = 1000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000_Sales_Records.csv'},4904.78,138,138,0
0,6,200,2,17,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,1,0,4910.38,bucketname = df.service.one; key = 1000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000_Sales_Records.csv'},5000.38,90,90,0
0,7,451,2,21,0,0,0,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,0,0,4883.16,bucketname = df.service.one; key = 1000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000_Sales_Records.csv'},4997.16,114,114,0
0,1,299,2,36,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,0,0,4836.1,bucketname = df.service.one; key = 1000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000_Sales_Records.csv'},5026.1,190,189,0
0,8,411,2,19,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,1,0,4921.31,bucketname = df.service.one; key = 1000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000_Sales_Records.csv'},5026.31,105,105,0
0,3,321,2,19,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,1,0,4940.45,bucketname = df.service.one; key = 1000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000_Sales_Records.csv'},5046.45,106,106,0
0,0,390,2,19,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,1,0,4966.96,bucketname = df.service.one; key = 1000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000_Sales_Records.csv'},5068.96,102,102,0
0,2,472,2,20,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,1,0,4994.03,bucketname = df.service.one; key = 1000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000_Sales_Records.csv'},5099.03,105,105,0
0,42,207,2,15,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,0,0,4810.48,bucketname = df.service.one; key = 1000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000_Sales_Records.csv'},4892.48,82,81,0
0,32,210,2,11,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,1,0,4890.54,bucketname = df.service.one; key = 1000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000_Sales_Records.csv'},4953.54,63,63,0
0,43,293,2,14,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,1,0,4840.13,bucketname = df.service.one; key = 1000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000_Sales_Records.csv'},4913.13,73,73,0
0,9,790,2,16,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,1,0,5047.42,bucketname = df.service.one; key = 1000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000_Sales_Records.csv'},5137.42,90,90,0
0,16,563,2,15,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,2,0,5011.9,bucketname = df.service.one; key = 1000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000_Sales_Records.csv'},5092.9,81,81,0
0,5,745,2,17,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,2,0,5100.09,bucketname = df.service.one; key = 1000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000_Sales_Records.csv'},5192.09,92,92,0
