2019-12-12 20:50:38.994196 - Python Partest Version 0.5
Setting up test: runsperthread=1 threads=50 totalruns=50 payload=[{'bucketname': 'df.service.one' 'key': '10000_Sales_Records.csv'}]

Raw results of each run:
1_run_id,2_thread_id,contextSwitchesDelta,cpuCores,cpuIdleDelta,cpuIowaitDelta,cpuIrqDelta,cpuKrnDelta,cpuModel,cpuNiceDelta,cpuSoftIrqDelta,cpuType,cpuUsrDelta,frameworkRuntime,latency,message,payload,roundTripTime,runtime,userRuntime,vmcpustealDelta
0,6,1528,2,27,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,7,0,4970.54,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5148.54,178,177,0
0,0,1330,2,34,0,0,2,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,7,0,4967.9,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5180.9,213,213,0
0,1,1356,2,26,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,7,0,5010.89,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5184.89,174,174,0
0,4,1247,2,22,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,6,0,5040.12,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5188.12,148,148,0
0,3,1160,2,24,0,0,0,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,6,0,5097.26,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5253.26,156,156,0
0,2,2014,2,28,0,0,0,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,7,0,5082.78,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5270.78,188,188,0
0,26,1688,2,27,0,0,2,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,5,0,4955.64,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5134.64,179,179,0
0,8,1517,2,22,0,0,0,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,6,0,5131.26,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5284.26,153,153,0
0,23,860,2,24,0,0,1,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,6,0,5030.03,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5185.03,155,155,0
0,14,844,2,27,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,7,0,5084.89,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5261.89,177,177,0
0,22,1403,2,25,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,6,0,5114.88,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5283.88,169,169,0
0,28,1344,2,22,0,0,1,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,5,0,5152.37,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5296.37,144,144,0
0,37,1794,2,23,0,0,2,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,6,0,5175.36,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5332.36,157,157,0
0,19,1649,2,20,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,6,0,5381.18,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5524.18,143,143,0
0,13,1423,2,22,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,6,0,5419.28,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5570.28,151,151,0
0,17,1583,2,21,0,0,2,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,7,0,5449.9,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5600.9,151,151,0
0,25,1020,2,21,0,0,2,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,6,0,5418.61,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5561.61,143,143,0
0,11,1737,2,25,0,0,2,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,6,0,5504.02,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5671.02,167,167,0
0,16,1172,2,57,0,0,1,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,5,0,5314.96,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5638.96,324,324,0
0,33,951,2,31,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,6,0,5408.97,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5601.97,193,193,0
0,20,950,2,26,0,0,1,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,5,0,5517.43,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5685.43,168,168,0
0,9,1743,2,22,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,7,0,5617.51,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5769.51,152,151,0
0,5,967,2,22,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,7,0,5648.65,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5798.65,150,150,0
0,47,1717,2,26,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,6,0,5363.71,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5537.71,174,174,0
0,10,970,2,30,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,7,0,5569.62,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5762.62,193,193,0
0,46,1577,2,22,0,0,1,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,6,0,5411.4,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5565.4,154,154,0
0,12,1558,2,26,0,0,2,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,5,0,5581.24,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5754.24,173,173,0
0,29,1446,2,23,0,0,2,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,5,0,5503.48,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5661.48,158,158,0
0,44,913,2,24,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,7,0,5419.59,bucketname = df.service.one; key = 10000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '10000_Sales_Records.csv'},5578.59,159,159,0
