2019-12-12 20:50:54.229827 - Python Partest Version 0.5
Setting up test: runsperthread=1 threads=50 totalruns=50 payload=[{'bucketname': 'df.service.one' 'key': '50000_Sales_Records.csv'}]

Raw results of each run:
1_run_id,2_thread_id,contextSwitchesDelta,cpuCores,cpuIdleDelta,cpuIowaitDelta,cpuIrqDelta,cpuKrnDelta,cpuModel,cpuNiceDelta,cpuSoftIrqDelta,cpuType,cpuUsrDelta,frameworkRuntime,latency,message,payload,roundTripTime,runtime,userRuntime,vmcpustealDelta
0,0,7874,2,60,0,0,8,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,31,0,5012.73,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5524.73,512,511,0
0,5,6281,2,45,0,0,6,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,33,0,5143.96,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5586.96,443,443,0
0,17,7525,2,44,0,0,7,62,0,2,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,33,0,5086.37,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5527.37,441,441,0
0,1,7683,2,55,0,0,10,62,0,2,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,30,0,5138.94,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5623.94,485,485,0
0,2,6128,2,60,0,0,6,62,0,2,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,33,0,5108.07,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5624.07,516,516,0
0,4,6534,2,42,0,0,6,62,0,2,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,32,0,5201.47,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5624.47,423,423,0
0,27,7891,2,61,0,0,7,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,30,0,4987.28,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5503.28,516,516,1
0,9,7898,2,44,0,0,7,62,0,2,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,29,0,5239.73,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5666.73,427,427,0
0,15,7941,2,45,0,0,9,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,30,0,5221.14,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5653.14,432,432,0
0,6,6082,2,46,0,0,10,62,0,2,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,30,0,5285.98,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5733.98,448,448,0
0,11,7280,2,45,0,0,8,62,0,3,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,30,0,5302.96,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5741.96,439,439,0
0,47,6447,2,44,0,0,7,62,0,2,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,31,0,5133.19,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5569.19,436,436,0
0,19,6235,2,50,0,0,6,62,0,2,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,36,0,5316.93,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5786.93,470,470,0
0,7,6378,2,47,0,0,8,62,0,3,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,28,0,5506.19,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5950.19,444,444,1
0,26,6771,2,47,0,0,5,62,0,3,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,32,0,5378.58,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5835.58,457,457,0
0,3,7478,2,59,0,0,6,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,33,0,5523.06,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},6032.06,509,509,0
0,31,7010,2,48,0,0,7,62,0,2,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,31,0,5415.32,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5871.32,456,456,0
0,34,6518,2,42,0,0,7,62,0,2,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,34,0,5483.8,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5917.8,434,434,0
0,48,7854,2,57,0,0,6,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,30,0,5374.11,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5862.11,488,488,0
0,10,7908,2,48,0,0,9,62,0,2,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,30,0,5631.65,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},6096.65,465,464,0
0,25,7666,2,58,0,0,7,62,0,2,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,30,0,5497.66,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},6005.66,508,508,0
0,32,8179,2,71,0,0,8,62,0,4,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,31,0,5388.8,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5976.8,588,588,0
0,14,8047,2,55,0,0,10,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,28,0,5597.62,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},6076.62,479,479,0
0,22,7666,2,51,0,0,6,62,0,3,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,35,0,5574.23,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},6045.23,471,471,1
0,8,7282,2,52,0,0,6,62,0,3,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,31,0,5675.44,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},6147.44,472,472,0
0,30,8200,2,62,0,0,12,62,0,2,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,28,0,5456.41,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5999.41,543,543,0
0,24,6239,2,45,0,0,11,62,0,4,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,30,0,5586.13,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},6039.13,453,453,0
0,37,7697,2,52,0,0,6,62,0,3,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,33,0,5483.43,bucketname = df.service.one; key = 50000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '50000_Sales_Records.csv'},5960.43,477,477,0
