2019-12-12 20:51:28.644132 - Python Partest Version 0.5
Setting up test: runsperthread=1 threads=50 totalruns=50 payload=[{'bucketname': 'df.service.one' 'key': '500000_Sales_Records.csv'}]

Raw results of each run:
1_run_id,2_thread_id,contextSwitchesDelta,cpuCores,cpuIdleDelta,cpuIowaitDelta,cpuIrqDelta,cpuKrnDelta,cpuModel,cpuNiceDelta,cpuSoftIrqDelta,cpuType,cpuUsrDelta,frameworkRuntime,latency,message,payload,roundTripTime,runtime,userRuntime,vmcpustealDelta
0,16,66085,2,431,0,0,82,62,0,30,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,325,0,5121.48,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9580.48,4459,4459,1
0,30,59502,2,421,0,0,90,62,0,19,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,337,0,5055.99,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9505.99,4450,4450,5
0,12,67529,2,410,0,0,82,62,0,18,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,333,0,5274.31,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9605.31,4331,4331,0
0,36,72233,2,418,0,0,87,62,0,18,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,330,0,5106.91,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9477.91,4371,4371,2
0,14,58366,2,406,0,0,80,62,0,14,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,343,0,5260.86,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9599.86,4339,4339,2
0,13,56649,2,437,0,0,89,62,0,13,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,334,0,5129.33,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9605.33,4476,4476,2
0,17,59966,2,437,0,0,89,62,0,21,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,339,0,5077.29,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9597.29,4520,4520,5
0,29,74407,2,423,0,0,96,62,0,33,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,326,0,5049.65,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9536.65,4487,4487,2
0,45,79490,2,401,0,0,95,62,0,16,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,354,0,5051.85,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9453.85,4402,4402,1
0,27,79162,2,421,0,0,88,62,0,20,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,354,0,5036.72,bucketname = df.service.one; key = 500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '500000_Sales_Records.csv'},9557.72,4521,4521,1
