2019-12-12 20:51:49.409379 - Python Partest Version 0.5
Setting up test: runsperthread=1 threads=50 totalruns=50 payload=[{'bucketname': 'df.service.one' 'key': '1000000_Sales_Records.csv'}]

Raw results of each run:
1_run_id,2_thread_id,contextSwitchesDelta,cpuCores,cpuIdleDelta,cpuIowaitDelta,cpuIrqDelta,cpuKrnDelta,cpuModel,cpuNiceDelta,cpuSoftIrqDelta,cpuType,cpuUsrDelta,frameworkRuntime,latency,message,payload,roundTripTime,runtime,userRuntime,vmcpustealDelta
0,37,109346,2,673,0,0,99,62,0,26,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,564,0,5017.17,bucketname = df.service.one; key = 1000000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000000_Sales_Records.csv'},12053.17,7036,7036,1
0,35,68587,2,687,0,0,23,62,0,40,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,603,0,5167.91,bucketname = df.service.one; key = 1000000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000000_Sales_Records.csv'},12109.91,6942,6942,1
0,25,107321,2,699,0,0,83,62,0,17,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,582,0,5168.7,bucketname = df.service.one; key = 1000000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000000_Sales_Records.csv'},12340.7,7172,7172,0
0,47,107995,2,676,0,0,88,62,0,28,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,580,0,5042.85,bucketname = df.service.one; key = 1000000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000000_Sales_Records.csv'},12269.85,7227,7227,3
0,44,112046,2,699,0,0,94,62,0,18,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,590,0,4995.48,bucketname = df.service.one; key = 1000000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000000_Sales_Records.csv'},12329.48,7334,7334,3
0,20,110947,2,695,0,0,91,62,0,30,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,598,0,5154.9,bucketname = df.service.one; key = 1000000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000000_Sales_Records.csv'},12440.9,7286,7285,3
0,33,91775,2,712,0,0,82,62,0,24,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,590,0,5147.37,bucketname = df.service.one; key = 1000000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000000_Sales_Records.csv'},12417.37,7270,7270,0
0,15,111214,2,692,0,0,89,62,0,26,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,592,0,5249.14,bucketname = df.service.one; key = 1000000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000000_Sales_Records.csv'},12534.14,7285,7285,2
0,13,146745,2,686,0,0,104,62,0,52,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,582,0,5239.18,bucketname = df.service.one; key = 1000000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000000_Sales_Records.csv'},12538.18,7299,7299,2
0,32,122041,2,709,0,0,103,62,0,50,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,575,0,5074.42,bucketname = df.service.one; key = 1000000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000000_Sales_Records.csv'},12455.42,7381,7381,2
0,14,107436,2,706,0,0,82,62,0,31,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,613,0,5251.34,bucketname = df.service.one; key = 1000000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000000_Sales_Records.csv'},12597.34,7346,7346,1
0,4,132574,2,703,0,0,99,62,0,20,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,614,0,5276.86,bucketname = df.service.one; key = 1000000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000000_Sales_Records.csv'},12705.86,7429,7429,2
0,49,111683,2,695,0,0,95,62,0,26,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,570,0,5130.05,bucketname = df.service.one; key = 1000000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1000000_Sales_Records.csv'},12412.05,7282,7282,2
