2019-12-12 20:52:21.970219 - Python Partest Version 0.5
Setting up test: runsperthread=1 threads=50 totalruns=50 payload=[{'bucketname': 'df.service.one' 'key': '1500000_Sales_Records.csv'}]

Raw results of each run:
1_run_id,2_thread_id,contextSwitchesDelta,cpuCores,cpuIdleDelta,cpuIowaitDelta,cpuIrqDelta,cpuKrnDelta,cpuModel,cpuNiceDelta,cpuSoftIrqDelta,cpuType,cpuUsrDelta,frameworkRuntime,latency,message,payload,roundTripTime,runtime,userRuntime,vmcpustealDelta
0,39,190750,2,940,0,0,126,62,0,48,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,865,0,5373.25,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},15496.25,10123,10123,2
0,11,142151,2,983,0,0,153,62,0,38,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,808,0,5529.23,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},15785.23,10256,10256,6
0,45,157299,2,962,0,0,120,62,0,47,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,823,0,5470.62,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},15606.62,10136,10136,2
0,25,186191,2,971,0,0,134,62,0,40,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,855,0,5454.79,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},15754.79,10300,10300,2
0,33,96433,2,951,0,0,127,62,0,45,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,866,0,5425.06,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},15749.06,10324,10324,3
0,16,154939,2,971,0,0,113,62,0,48,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,825,0,5576.75,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},15852.75,10276,10276,2
0,38,154073,2,970,0,0,119,62,0,42,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,840,0,5511.18,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},15775.18,10264,10264,1
0,40,136236,2,1024,0,0,120,62,0,32,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,841,0,5334.22,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},15786.22,10452,10452,2
0,32,177150,2,1004,0,0,131,62,0,30,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,854,0,5385.27,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},15878.27,10493,10493,5
0,27,197240,2,1002,0,0,125,62,0,38,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,861,0,5460.03,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},15908.03,10448,10447,4
0,36,159400,2,1012,0,0,122,62,0,35,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,848,0,5425.3,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},15916.3,10491,10491,5
0,30,159473,2,1023,0,0,122,62,0,62,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,856,0,5362.6,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},15952.6,10590,10590,3
0,28,155503,2,1002,0,0,120,62,0,46,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,853,0,5507.42,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},16012.42,10505,10505,6
0,23,183446,2,1041,0,0,121,62,0,32,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,848,0,5465.46,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},16062.46,10597,10597,2
0,26,161109,2,930,0,0,131,62,0,68,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,929,0,5490.33,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},16057.33,10567,10567,5
0,42,209109,2,1027,0,0,121,62,0,55,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,832,0,5460.51,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},15976.51,10516,10516,2
0,46,166609,2,1046,0,0,118,62,0,42,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,827,0,5441.14,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},15968.14,10527,10527,2
0,15,97589,2,1071,0,0,111,62,0,34,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,850,0,5483.47,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},16178.47,10695,10694,7
0,43,147575,2,1096,0,0,118,62,0,47,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,835,0,5303.74,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},16060.74,10757,10756,3
0,48,197560,2,1016,0,0,121,62,0,44,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,850,0,5426.95,bucketname = df.service.one; key = 1500000_Sales_Records.csv,{'bucketname': 'df.service.one'; 'key': '1500000_Sales_Records.csv'},16053.95,10627,10627,3
