2019-12-13 00:36:02.611282 - Python Partest Version 0.5
Setting up test: runsperthread=1 threads=50 totalruns=50 payload=[{'bucketname': 'df.service.one' 'key': 'QueryResults1000000.csv' 'tablename': 'SalesData' 'filterBy': {'Region': ['Australia_and_Oceania'] 'Item_Type': ['Office_Supplies'] 'Sales_Channel': ['Offline'] 'Order_Priority': ['Medium'] 'Country': ['Fiji']} 'aggregateBy': {'max': ['Units_Sold'] 'min': ['Units_Sold'] 'avg': ['Order_Processing_Time' 'Gross_Margin' 'Units_Sold'] 'sum': ['Units_Sold' 'Total_Revenue' 'Total_Profit']}}]

Raw results of each run:
1_run_id,2_thread_id,contextSwitchesDelta,cpuCores,cpuIdleDelta,cpuIowaitDelta,cpuIrqDelta,cpuKrnDelta,cpuModel,cpuNiceDelta,cpuSoftIrqDelta,cpuType,cpuUsrDelta,frameworkRuntime,latency,payload,request,roundTripTime,runtime,userRuntime,vmcpustealDelta
0,0,302,2,18,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,1,0,5430.99,{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},5522.99,92,92,0
0,13,636,2,20,0,0,2,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,2,0,5465.0,{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},5597.0,132,132,1
0,3,770,2,18,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,4,0,5721.2,{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},5837.2,116,116,0
0,1,226,2,14,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,1,0,5800.16,{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},5872.16,72,72,0
0,5,129,2,18,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,0,0,5769.17,{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},5865.17,96,95,0
0,35,459,2,12,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,1,0,5649.8,{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},5714.8,65,65,0
0,4,1014,2,27,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,3,0,5787.92,{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},5954.92,167,167,1
0,23,836,2,11,1,0,2,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,2,0,5754.18,{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},5842.18,88,88,0
0,14,138,2,5,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,0,0,5873.79,{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},5904.79,31,31,0
0,22,239,2,24,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,0,0,5742.14,{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},5864.14,122,122,0
0,16,815,2,24,0,0,2,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,4,0,5750.63,{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults1000000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},5904.63,154,154,0
