2019-12-13 00:08:06.173257 - Python Partest Version 0.5
Setting up test: runsperthread=1 threads=50 totalruns=50 payload=[{'bucketname': 'df.service.one' 'key': 'QueryResults5000.csv' 'tablename': 'SalesData' 'filterBy': {'Region': ['Australia_and_Oceania'] 'Item_Type': ['Office_Supplies'] 'Sales_Channel': ['Offline'] 'Order_Priority': ['Medium'] 'Country': ['Fiji']} 'aggregateBy': {'max': ['Units_Sold'] 'min': ['Units_Sold'] 'avg': ['Order_Processing_Time' 'Gross_Margin' 'Units_Sold'] 'sum': ['Units_Sold' 'Total_Revenue' 'Total_Profit']}}]

Raw results of each run:
1_run_id,2_thread_id,contextSwitchesDelta,cpuCores,cpuIdleDelta,cpuIowaitDelta,cpuIrqDelta,cpuKrnDelta,cpuModel,cpuNiceDelta,cpuSoftIrqDelta,cpuType,cpuUsrDelta,frameworkRuntime,latency,payload,request,roundTripTime,runtime,userRuntime,vmcpustealDelta
0,4,235,2,18,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,0,0,5914.41,{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},6006.41,92,92,0
0,16,231,2,18,0,0,0,62,0,2,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,0,0,5873.42,{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},5963.42,90,89,0
0,43,223,2,19,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,0,0,5738.48,{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},5835.48,97,97,0
0,46,146,2,7,0,0,0,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,0,0,5825.02,{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},5863.02,38,38,0
0,40,119,2,7,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,1,0,5863.28,{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},5896.28,33,33,0
0,18,263,2,13,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,1,0,5959.98,{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},6030.98,71,71,0
0,32,487,2,16,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,1,0,5884.24,{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},5973.24,89,89,1
0,31,246,2,20,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,0,0,5865.16,{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},5969.16,104,104,0
0,6,263,2,19,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,1,0,6031.57,{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},6129.57,98,98,0
0,19,114,2,6,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,0,0,6022.82,{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},6057.82,35,35,0
0,28,257,2,16,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,0,0,5941.51,{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults5000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},6026.51,85,85,0
