2019-12-13 00:22:56.166306 - Python Partest Version 0.5
Setting up test: runsperthread=1 threads=50 totalruns=50 payload=[{'bucketname': 'df.service.one' 'key': 'QueryResults500000.csv' 'tablename': 'SalesData' 'filterBy': {'Region': ['Australia_and_Oceania'] 'Item_Type': ['Office_Supplies'] 'Sales_Channel': ['Offline'] 'Order_Priority': ['Medium'] 'Country': ['Fiji']} 'aggregateBy': {'max': ['Units_Sold'] 'min': ['Units_Sold'] 'avg': ['Order_Processing_Time' 'Gross_Margin' 'Units_Sold'] 'sum': ['Units_Sold' 'Total_Revenue' 'Total_Profit']}}]

Raw results of each run:
1_run_id,2_thread_id,contextSwitchesDelta,cpuCores,cpuIdleDelta,cpuIowaitDelta,cpuIrqDelta,cpuKrnDelta,cpuModel,cpuNiceDelta,cpuSoftIrqDelta,cpuType,cpuUsrDelta,frameworkRuntime,latency,payload,request,roundTripTime,runtime,userRuntime,vmcpustealDelta
0,2,185,2,10,0,0,0,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,0,0,5484.2,{'bucketname': 'df.service.one'; 'key': 'QueryResults500000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults500000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},5533.2,49,49,0
0,9,1022,2,20,0,0,3,62,0,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,3,0,6353.55,{'bucketname': 'df.service.one'; 'key': 'QueryResults500000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults500000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},6487.55,134,134,0
0,12,1099,2,23,0,0,3,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,4,0,6294.48,{'bucketname': 'df.service.one'; 'key': 'QueryResults500000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults500000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},6445.48,151,151,0
0,32,904,2,19,0,0,2,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,4,0,6207.92,{'bucketname': 'df.service.one'; 'key': 'QueryResults500000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults500000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},6332.92,125,125,0
0,42,722,2,17,0,0,3,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,2,0,6157.65,{'bucketname': 'df.service.one'; 'key': 'QueryResults500000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults500000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},6276.65,119,119,0
0,46,548,2,12,0,0,2,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,4,0,6160.87,{'bucketname': 'df.service.one'; 'key': 'QueryResults500000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults500000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},6256.87,96,96,0
0,45,902,2,19,0,0,3,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,3,0,6141.82,{'bucketname': 'df.service.one'; 'key': 'QueryResults500000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults500000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},6268.82,127,127,0
0,13,817,2,23,0,0,1,62,0,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,5,0,6320.66,{'bucketname': 'df.service.one'; 'key': 'QueryResults500000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},{'bucketname': 'df.service.one'; 'key': 'QueryResults500000.csv'; 'tablename': 'SalesData'; 'filterBy': {'Country': ['Fiji']; 'Item_Type': ['Office_Supplies']; 'Order_Priority': ['Medium']; 'Region': ['Australia_and_Oceania']; 'Sales_Channel': ['Offline']}; 'aggregateBy': {'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'max': ['Units_Sold']; 'min': ['Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},6467.66,147,147,0
Successful Runs: 28

Category cpuType:
cpuType,uses,avg_contextSwitchesDelta,avg_cpuCores,avg_cpuIdleDelta,avg_cpuIowaitDelta,avg_cpuIrqDelta,avg_cpuKrnDelta,avg_cpuNiceDelta,avg_cpuSoftIrqDelta,avg_cpuUsrDelta,avg_frameworkRuntime,avg_latency,avg_roundTripTime,avg_runtime,avg_userRuntime,avg_vmcpustealDelta
Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,28,673.07,2.00,16.36,0.04,0.00,1.86,0.00,0.11,2.71,0.00,6018.66,6125.16,106.50,106.43,0.11
Total number of unique cpuTypes: 1

Category zAll:
zAll,uses,avg_contextSwitchesDelta,avg_cpuCores,avg_cpuIdleDelta,avg_cpuIowaitDelta,avg_cpuIrqDelta,avg_cpuKrnDelta,avg_cpuNiceDelta,avg_cpuSoftIrqDelta,avg_cpuUsrDelta,avg_frameworkRuntime,avg_latency,avg_roundTripTime,avg_runtime,avg_userRuntime,avg_vmcpustealDelta
Final Results:,28,673.07,2.00,16.36,0.04,0.00,1.86,0.00,0.11,2.71,0.00,6018.66,6125.16,106.50,106.43,0.11
Total number of unique zAlls: 1
