2019-12-11 13:28:02.253286 - Python Partest Version 0.5
Setting up test: runsperthread=1 threads=50 totalruns=50 payload=[{'bucketname': 'testbucketohiodap' 'key': '562sales_5000.csv'}]

Raw results of each run:
1_run_id,2_thread_id,containerID,contextSwitches,contextSwitchesDelta,cpuCores,cpuIdle,cpuIdleDelta,cpuIowait,cpuIowaitDelta,cpuIrq,cpuIrqDelta,cpuKrn,cpuKrnDelta,cpuModel,cpuNice,cpuNiceDelta,cpuSoftIrq,cpuSoftIrqDelta,cpuType,cpuUsr,cpuUsrDelta,frameworkRuntime,freeMemory,latency,majorPageFaults,majorPageFaultsDelta,message,newcontainer,pageFaults,pageFaultsDelta,payload,roundTripTime,runtime,totalMemory,userRuntime,uuid,value,vmID,vmcpusteal,vmcpustealDelta,vmuptime
0,11,2019/12/11/[$LATEST]73f4ba2564db4ae3b1d1517bb751527b,31868,426,2,1143231,25,5,0,0,0,162,1,62,0,0,3,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,371,28,9,2985920,8196.58,689,0,bucketname is = testbucketohiodap! This is an attributed added to the Inspector!,0,75324,1717,{'bucketname': 'testbucketohiodap'; 'key': '562sales_5000.csv'},8473.58,277,3230668,268,483e8892-3216-444b-824c-0e3788b30bd2,Bucket: testbucketohiodap key:562sales_5000.csv processed. record 0 = ,QI3xXB,20,1,1576093958
0,28,2019/12/11/[$LATEST]4e2f085d452f4c5ba365117d9014eae5,21672,171,2,464087,18,6,0,0,0,133,0,62,0,0,3,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,399,14,4,2980852,8147.42,689,0,bucketname is = testbucketohiodap! This is an attributed added to the Inspector!,0,77131,580,{'bucketname': 'testbucketohiodap'; 'key': '562sales_5000.csv'},8313.42,166,3230668,161,6c7afc4e-1d95-48a9-982d-38c87c1861fa,Bucket: testbucketohiodap key:562sales_5000.csv processed. record 0 = ,wYAtk5,9,0,1576097355
0,6,2019/12/11/[$LATEST]11e1823978914a42a445694f30282b32,44756,185,2,728705,23,5,0,0,0,158,0,62,0,0,12,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,578,14,5,2960672,8542.88,690,0,bucketname is = testbucketohiodap! This is an attributed added to the Inspector!,0,89393,589,{'bucketname': 'testbucketohiodap'; 'key': '562sales_5000.csv'},8741.88,199,3230668,194,af546f5b-ed47-41a5-bc94-5675b4388b51,Bucket: testbucketohiodap key:562sales_5000.csv processed. record 0 = ,zOBqdS,49,0,1576096031
0,7,2019/12/11/[$LATEST]103441783b70486ebf03980f4b236b97,30169,309,2,1082584,13,6,0,0,0,156,2,62,0,0,1,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,407,27,4,2981040,8592.68,695,0,bucketname is = testbucketohiodap! This is an attributed added to the Inspector!,0,76432,941,{'bucketname': 'testbucketohiodap'; 'key': '562sales_5000.csv'},8812.68,220,3230668,215,d960b440-8801-4b22-8b4c-1e7e3dba2097,Bucket: testbucketohiodap key:562sales_5000.csv processed. record 0 = ,7T8RN8,17,0,1576094262
0,15,2019/12/11/[$LATEST]11e1823978914a42a445694f30282b32,44492,155,2,728672,30,5,0,0,0,156,1,62,0,0,11,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,570,8,3,2962912,8555.55,690,0,bucketname is = testbucketohiodap! This is an attributed added to the Inspector!,0,88635,577,{'bucketname': 'testbucketohiodap'; 'key': '562sales_5000.csv'},8761.55,206,3230668,203,af546f5b-ed47-41a5-bc94-5675b4388b51,Bucket: testbucketohiodap key:562sales_5000.csv processed. record 0 = ,zOBqdS,49,0,1576096031
0,13,2019/12/11/[$LATEST]4e2f085d452f4c5ba365117d9014eae5,21972,147,2,464110,20,6,0,0,0,133,3,62,0,0,3,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,414,15,8,2978588,8611.74,689,0,bucketname is = testbucketohiodap! This is an attributed added to the Inspector!,0,77896,602,{'bucketname': 'testbucketohiodap'; 'key': '562sales_5000.csv'},8806.74,195,3230668,186,6c7afc4e-1d95-48a9-982d-38c87c1861fa,Bucket: testbucketohiodap key:562sales_5000.csv processed. record 0 = ,wYAtk5,9,0,1576097355
0,12,2019/12/11/[$LATEST]4e2f085d452f4c5ba365117d9014eae5,21133,370,2,464060,19,6,0,0,0,131,1,62,0,0,3,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,372,27,8,2987128,8602.44,689,0,bucketname is = testbucketohiodap! This is an attributed added to the Inspector!,0,75129,1810,{'bucketname': 'testbucketohiodap'; 'key': '562sales_5000.csv'},8845.44,243,3230668,235,6c7afc4e-1d95-48a9-982d-38c87c1861fa,Bucket: testbucketohiodap key:562sales_5000.csv processed. record 0 = ,wYAtk5,8,1,1576097355
0,24,2019/12/11/[$LATEST]73f4ba2564db4ae3b1d1517bb751527b,32855,159,2,1143383,15,5,0,0,0,165,0,62,0,0,3,2,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,414,16,9,2977440,8509.83,689,0,bucketname is = testbucketohiodap! This is an attributed added to the Inspector!,0,78000,715,{'bucketname': 'testbucketohiodap'; 'key': '562sales_5000.csv'},8688.83,179,3230668,169,483e8892-3216-444b-824c-0e3788b30bd2,Bucket: testbucketohiodap key:562sales_5000.csv processed. record 0 = ,QI3xXB,21,0,1576093958
0,22,2019/12/11/[$LATEST]103441783b70486ebf03980f4b236b97,30648,168,2,1082623,20,6,0,0,0,158,0,62,0,0,2,1,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,435,12,5,2978320,8545.96,695,0,bucketname is = testbucketohiodap! This is an attributed added to the Inspector!,0,77569,581,{'bucketname': 'testbucketohiodap'; 'key': '562sales_5000.csv'},8726.96,181,3230668,175,d960b440-8801-4b22-8b4c-1e7e3dba2097,Bucket: testbucketohiodap key:562sales_5000.csv processed. record 0 = ,7T8RN8,17,1,1576094262
0,25,2019/12/11/[$LATEST]7652a6800d87443b92964fb2c08e61bf,28300,283,2,982256,32,6,0,0,0,146,1,62,0,0,3,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,353,21,5,2988192,8399.54,687,1,bucketname is = testbucketohiodap! This is an attributed added to the Inspector!,0,74491,610,{'bucketname': 'testbucketohiodap'; 'key': '562sales_5000.csv'},8689.54,290,3230668,284,80b06b27-8699-40a4-9972-435bc7c648cf,Bucket: testbucketohiodap key:562sales_5000.csv processed. record 0 = ,rx0DKq,29,0,1576094764
