2019-12-13 11:57:26.848080 - Python Partest Version 0.5
Setting up test: runsperthread=1 threads=50 totalruns=50 payload=[{'bucketname': 'cvs.bucket.reh' 'key': '1000_Sales_Records.csv' 'tablename': 'mytable' 'filterBy': {'Region': ['Australia_and_Oceania'] 'Item_Type': ['Office_Supplies'] 'Sales_Channel': ['Offline'] 'Order_Priority': ['Medium'] 'Country': ['Fiji']} 'aggregateBy': {'max': ['Units_Sold'] 'min': ['Units_Sold'] 'avg': ['Order_Processing_Time' 'Gross_Margin' 'Units_Sold'] 'sum': ['Units_Sold' 'Total_Revenue' 'Total_Profit']}}]

Raw results of each run:
1_run_id,2_thread_id,bucketname,containerID,cpuIdle,cpuIdleDelta,cpuIowait,cpuIowaitDelta,cpuIrq,cpuIrqDelta,cpuKrn,cpuKrnDelta,cpuModel,cpuNice,cpuNiceDelta,cpuSoftIrq,cpuSoftIrqDelta,cpuType,cpuUsr,cpuUsrDelta,frameworkRuntime,key,latency,newcontainer,payload,roundTripTime,runtime,test val,uuid,vmID,vmcpusteal,vmcpustealDelta,vmuptime
0,26,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]50d744c2e8374105a839f2d815b0b810,1120301,19,3,0,0,0,113,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,67,4,34.35,1000_Sales_Records.csv,16161.85,0,{'bucketname': 'cvs.bucket.reh'; 'key': '1000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},16290.85,129.82,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,51b0b337-48e0-42d7-9f31-0c30c5f5235c,ZOXBLx,43,1,1576261443
0,21,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]defb2c9174c34104ab130c7fec7fb5e7,1155327,29,4,0,0,0,118,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,72,3,23.59,1000_Sales_Records.csv,16334.33,0,{'bucketname': 'cvs.bucket.reh'; 'key': '1000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},16511.33,177.7,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,04584cdd-f3da-4742-8240-fcbb3655998f,Wxkl7s,39,0,1576261268
0,8,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]defb2c9174c34104ab130c7fec7fb5e7,1155398,19,4,0,0,0,124,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,78,2,23.03,1000_Sales_Records.csv,16644.21,0,{'bucketname': 'cvs.bucket.reh'; 'key': '1000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},16775.21,131.05,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,04584cdd-f3da-4742-8240-fcbb3655998f,Wxkl7s,39,0,1576261268
0,3,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]1cf55c43df234f7dbe1570fe3ec5f656,1040485,23,4,0,0,0,116,1,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,84,3,22.8,1000_Sales_Records.csv,17005.81,0,{'bucketname': 'cvs.bucket.reh'; 'key': '1000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},17155.81,150.01,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,3d54efe7-5a56-4487-b134-4561fef4d0b6,2k9T2i,30,0,1576261842
0,33,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]defb2c9174c34104ab130c7fec7fb5e7,1155456,17,4,0,0,0,130,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,85,1,23.43,1000_Sales_Records.csv,15773.53,0,{'bucketname': 'cvs.bucket.reh'; 'key': '1000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},15895.53,122.88,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,04584cdd-f3da-4742-8240-fcbb3655998f,Wxkl7s,39,0,1576261268
0,18,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]defb2c9174c34104ab130c7fec7fb5e7,1155373,20,4,0,0,0,121,1,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,75,3,23.49,1000_Sales_Records.csv,16637.65,0,{'bucketname': 'cvs.bucket.reh'; 'key': '1000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},16773.65,136.26,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,04584cdd-f3da-4742-8240-fcbb3655998f,Wxkl7s,39,0,1576261268
0,22,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]6a3f0fe44a4945fa9180deab90d2d003,1123201,22,3,0,0,0,116,2,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,2,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,73,3,23.96,1000_Sales_Records.csv,16658.74,0,{'bucketname': 'cvs.bucket.reh'; 'key': '1000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},16802.74,144.83,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,3e90bee3-f625-4885-8121-aa91ebf631d5,0ZNN7r,41,0,1576261429
0,37,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]1cf55c43df234f7dbe1570fe3ec5f656,1040627,19,4,0,0,0,121,1,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,92,3,23.32,1000_Sales_Records.csv,15785.27,0,{'bucketname': 'cvs.bucket.reh'; 'key': '1000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},15917.27,132.74,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,3d54efe7-5a56-4487-b134-4561fef4d0b6,2k9T2i,30,0,1576261842
0,27,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]419668bb1bcb46378db4470481d0f01c,1046712,34,4,1,0,0,99,5,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,1,2,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,69,8,29.61,1000_Sales_Records.csv,16549.8,1,{'bucketname': 'cvs.bucket.reh'; 'key': '1000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},16802.8,253.25,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,10bd5d49-2c17-48c0-9be5-8616e6b34235,4kiUoV,46,0,1576261812
0,11,bucketname cvs.bucket.reh!,2019/12/13/[$LATEST]1cf55c43df234f7dbe1570fe3ec5f656,1040539,30,4,0,0,0,118,1,Intel(R) Xeon(R) Processor @ 2.50GHz,0,0,1,0,Intel(R) Xeon(R) Processor @ 2.50GHz - Model Intel(R) Xeon(R) Processor @ 2.50GHz,87,4,23.06,1000_Sales_Records.csv,16937.36,0,{'bucketname': 'cvs.bucket.reh'; 'key': '1000_Sales_Records.csv'; 'tablename': 'mytable'; 'filterBy': {'Region': ['Australia_and_Oceania']; 'Item_Type': ['Office_Supplies']; 'Sales_Channel': ['Offline']; 'Order_Priority': ['Medium']; 'Country': ['Fiji']}; 'aggregateBy': {'max': ['Units_Sold']; 'min': ['Units_Sold']; 'avg': ['Order_Processing_Time'; 'Gross_Margin'; 'Units_Sold']; 'sum': ['Units_Sold'; 'Total_Revenue'; 'Total_Profit']}},17121.36,184.1,Region;Country;Item Type;Sales Channel;Order Priority;Order Date;Order ID;Ship Date;Units Sold;Unit Price;Unit Cost;Total Revenue;Total Cost;Total Profit,3d54efe7-5a56-4487-b134-4561fef4d0b6,2k9T2i,30,0,1576261842
