2019-12-12 21:23:36.105354 - Python Partest Version 0.5
Setting up test: runsperthread=1 threads=1 totalruns=1 payload=[{'bucketname': 'df.service.one' 'key': 'edited_1000000_Sales_Records.csv' 'tablename': 'SalesData'}]

Raw results of each run:
1_run_id,2_thread_id,contextSwitchesDelta,cpuCores,cpuIdleDelta,cpuIowaitDelta,cpuIrqDelta,cpuKrnDelta,cpuModel,cpuNiceDelta,cpuSoftIrqDelta,cpuType,cpuUsrDelta,frameworkRuntime,iteration,latency,message,payload,roundTripTime,runtime,userRuntime,vmcpustealDelta
0,0,589416,2,16898,0,0,233,62,0,149,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,3421,0,1,1042.27,bucketname is = df.service.one! This is an attributed added to the Inspector!,{'bucketname': 'df.service.one'; 'key': 'edited_1000000_Sales_Records.csv'; 'tablename': 'SalesData'},105545.27,104503,104503,22
0,0,590698,2,16436,0,0,234,62,0,142,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,3452,0,2,846.98,bucketname is = df.service.one! This is an attributed added to the Inspector!,{'bucketname': 'df.service.one'; 'key': 'edited_1000000_Sales_Records.csv'; 'tablename': 'SalesData'},103106.98,102260,102260,29
0,0,566998,2,15712,0,0,241,62,0,137,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,3474,0,3,812.72,bucketname is = df.service.one! This is an attributed added to the Inspector!,{'bucketname': 'df.service.one'; 'key': 'edited_1000000_Sales_Records.csv'; 'tablename': 'SalesData'},99564.72,98752,98752,21
0,0,574296,2,16197,0,0,267,62,0,137,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,3411,0,4,887.9,bucketname is = df.service.one! This is an attributed added to the Inspector!,{'bucketname': 'df.service.one'; 'key': 'edited_1000000_Sales_Records.csv'; 'tablename': 'SalesData'},101895.9,101008,101008,28
0,0,543599,2,16833,0,0,228,62,0,141,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,3386,0,5,807.79,bucketname is = df.service.one! This is an attributed added to the Inspector!,{'bucketname': 'df.service.one'; 'key': 'edited_1000000_Sales_Records.csv'; 'tablename': 'SalesData'},104769.79,103962,103962,24
Successful Runs: 5

Category cpuType:
cpuType,uses,avg_contextSwitchesDelta,avg_cpuCores,avg_cpuIdleDelta,avg_cpuIowaitDelta,avg_cpuIrqDelta,avg_cpuKrnDelta,avg_cpuNiceDelta,avg_cpuSoftIrqDelta,avg_cpuUsrDelta,avg_frameworkRuntime,avg_iteration,avg_latency,avg_roundTripTime,avg_runtime,avg_userRuntime,avg_vmcpustealDelta
Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,5,573001.40,2.00,16415.20,0.00,0.00,240.60,0.00,141.20,3428.80,0.00,3.00,879.53,102976.53,102097.00,102097.00,24.80
Total number of unique cpuTypes: 1

Category zAll:
zAll,uses,avg_contextSwitchesDelta,avg_cpuCores,avg_cpuIdleDelta,avg_cpuIowaitDelta,avg_cpuIrqDelta,avg_cpuKrnDelta,avg_cpuNiceDelta,avg_cpuSoftIrqDelta,avg_cpuUsrDelta,avg_frameworkRuntime,avg_iteration,avg_latency,avg_roundTripTime,avg_runtime,avg_userRuntime,avg_vmcpustealDelta
Final Results:,5,573001.40,2.00,16415.20,0.00,0.00,240.60,0.00,141.20,3428.80,0.00,3.00,879.53,102976.53,102097.00,102097.00,24.80
Total number of unique zAlls: 1
