2019-12-12 21:07:24.051665 - Python Partest Version 0.5
Setting up test: runsperthread=1 threads=1 totalruns=1 payload=[{'bucketname': 'df.service.one' 'key': 'edited_100000_Sales_Records.csv' 'tablename': 'SalesData'}]

Raw results of each run:
1_run_id,2_thread_id,contextSwitchesDelta,cpuCores,cpuIdleDelta,cpuIowaitDelta,cpuIrqDelta,cpuKrnDelta,cpuModel,cpuNiceDelta,cpuSoftIrqDelta,cpuType,cpuUsrDelta,frameworkRuntime,iteration,latency,message,payload,roundTripTime,runtime,userRuntime,vmcpustealDelta
0,0,66745,2,1812,0,0,12,62,0,16,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,308,0,1,739.85,bucketname is = df.service.one! This is an attributed added to the Inspector!,{'bucketname': 'df.service.one'; 'key': 'edited_100000_Sales_Records.csv'; 'tablename': 'SalesData'},11728.85,10989,10989,8
0,0,32514,2,1802,0,0,12,62,0,13,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,310,0,2,828.32,bucketname is = df.service.one! This is an attributed added to the Inspector!,{'bucketname': 'df.service.one'; 'key': 'edited_100000_Sales_Records.csv'; 'tablename': 'SalesData'},11654.32,10826,10826,7
0,0,23697,2,1886,0,0,9,62,0,17,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,306,0,3,729.94,bucketname is = df.service.one! This is an attributed added to the Inspector!,{'bucketname': 'df.service.one'; 'key': 'edited_100000_Sales_Records.csv'; 'tablename': 'SalesData'},11893.94,11164,11164,2
0,0,28434,2,1826,0,0,10,62,0,14,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,311,0,4,841.92,bucketname is = df.service.one! This is an attributed added to the Inspector!,{'bucketname': 'df.service.one'; 'key': 'edited_100000_Sales_Records.csv'; 'tablename': 'SalesData'},11774.92,10933,10933,5
0,0,28312,2,1711,0,0,17,62,0,14,Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,308,0,5,744.55,bucketname is = df.service.one! This is an attributed added to the Inspector!,{'bucketname': 'df.service.one'; 'key': 'edited_100000_Sales_Records.csv'; 'tablename': 'SalesData'},11063.55,10319,10319,3
Successful Runs: 5

Category cpuType:
cpuType,uses,avg_contextSwitchesDelta,avg_cpuCores,avg_cpuIdleDelta,avg_cpuIowaitDelta,avg_cpuIrqDelta,avg_cpuKrnDelta,avg_cpuNiceDelta,avg_cpuSoftIrqDelta,avg_cpuUsrDelta,avg_frameworkRuntime,avg_iteration,avg_latency,avg_roundTripTime,avg_runtime,avg_userRuntime,avg_vmcpustealDelta
Intel(R) Xeon(R) Processor @ 2.50GHz - Model 62,5,35940.40,2.00,1807.40,0.00,0.00,12.00,0.00,14.80,308.60,0.00,3.00,776.92,11623.12,10846.20,10846.20,5.00
Total number of unique cpuTypes: 1

Category zAll:
zAll,uses,avg_contextSwitchesDelta,avg_cpuCores,avg_cpuIdleDelta,avg_cpuIowaitDelta,avg_cpuIrqDelta,avg_cpuKrnDelta,avg_cpuNiceDelta,avg_cpuSoftIrqDelta,avg_cpuUsrDelta,avg_frameworkRuntime,avg_iteration,avg_latency,avg_roundTripTime,avg_runtime,avg_userRuntime,avg_vmcpustealDelta
Final Results:,5,35940.40,2.00,1807.40,0.00,0.00,12.00,0.00,14.80,308.60,0.00,3.00,776.92,11623.12,10846.20,10846.20,5.00
Total number of unique zAlls: 1
